Id,m9_anomalyDetection,m9,m9
StatusCode,Complete,,
Messages,,,
Full label,us-east-1:AWS/RDS DBClusterIdentifier:database-1 VolumeBytesUsed Average 300,us-east-1:AWS/RDS DBClusterIdentifier:database-1 VolumeBytesUsed Average 300 (Expected) Low,us-east-1:AWS/RDS DBClusterIdentifier:database-1 VolumeBytesUsed Average 300 (Expected) High
Label,"[avg: 112,099,328] input",VolumeBytesUsed Low,VolumeBytesUsed High
2025/09/27 10:40:00,112099328,133937.8481848836,224064718.15181518
2025/09/27 10:45:00,112099328,133717.1927512884,224064938.80724877
2025/09/27 10:50:00,112099328,132841.79378080368,224065814.20621935
2025/09/27 10:55:00,112099328,132624.73202624917,224066031.2679739
2025/09/27 11:00:00,112099328,132408.37846668065,224066247.62153345
2025/09/27 11:05:00,112099328,132192.72964179516,224066463.27035835
2025/09/27 11:10:00,112099328,131977.78211393952,224066678.2178862
2025/09/27 11:15:00,112099328,131763.5324676484,224066892.46753252
2025/09/27 11:20:00,112099328,131549.97730967402,224067106.02269047
2025/09/27 11:25:00,112099328,131337.11326871812,224067318.88673145
2025/09/27 11:30:00,112099328,131124.93699526787,224067531.06300488
2025/09/27 11:35:00,112099328,130913.44516140223,224067742.55483875
2025/09/27 11:40:00,112099328,130702.63446064293,224067953.3655395
2025/09/27 11:45:00,112099328,130492.50160782039,224068163.49839234
2025/09/27 11:50:00,112099328,130283.04333877563,224068372.95666137
2025/09/27 11:55:00,112099328,130074.25641036034,224068581.7435898
2025/09/27 12:00:00,112099328,129866.13760010898,224068789.86240005
2025/09/27 12:05:00,112099328,129658.68370616436,224068997.31629398
2025/09/27 12:10:00,112099328,123203.53870464861,224075452.4612955
2025/09/27 12:15:00,112099328,127419.67974893749,224071236.32025123
2025/09/27 12:20:00,112099328,127219.96238255501,224071436.0376176
2025/09/27 12:25:00,112099328,127020.87010964751,224071635.1298905
2025/09/27 12:30:00,112099328,126822.40000011027,224071833.60000002
2025/09/27 12:35:00,112099328,126624.54914206266,224072031.4508581
2025/09/27 12:40:00,112099328,126427.31464186311,224072228.6853583
2025/09/27 12:45:00,112099328,126230.6936237514,224072425.3063764
2025/09/27 12:50:00,112099328,126034.68322990835,224072621.31677026
2025/09/27 12:55:00,112099328,125839.28062026203,224072816.7193799
2025/09/27 13:00:00,112099328,125644.48297224939,224073011.5170279
2025/09/27 13:05:00,112099328,125450.28748078644,224073205.71251935
2025/09/27 13:10:00,112099328,125256.69135811925,224073399.30864203
2025/09/27 13:15:00,112099328,125063.69183370471,224073592.30816644
2025/09/27 13:20:00,112099328,124871.28615395725,224073784.7138462
2025/09/27 13:25:00,112099328,124679.47158229351,224073976.52841786
2025/09/27 13:30:00,112099328,124488.24539887905,224074167.75460127
